poll_info,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,year,state,candidate,pct
2012-washington-dc-president-romney-vs-obama,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,2012,washington-dc,Obama,88
2012-washington-dc-president-romney-vs-obama,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,2012,washington-dc,Romney,8
2012-washington-dc-president-romney-vs-obama,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,2012,washington-dc,Other,NA
2012-washington-dc-president-romney-vs-obama,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,2012,washington-dc,Undecided,NA
2012-idaho-president-romney-vs-obama,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,2012,idaho,Obama,27
2012-idaho-president-romney-vs-obama,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,2012,idaho,Romney,63
2012-idaho-president-romney-vs-obama,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,2012,idaho,Other,4
2012-idaho-president-romney-vs-obama,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,2012,idaho,Undecided,6
2012-rhode-island-president-romney-vs-obama,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,2012,rhode-island,Obama,54
2012-rhode-island-president-romney-vs-obama,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,2012,rhode-island,Romney,33
2012-rhode-island-president-romney-vs-obama,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,2012,rhode-island,Other,NA
2012-rhode-island-president-romney-vs-obama,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,2012,rhode-island,Undecided,8
2012-rhode-island-president-romney-vs-obama,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,2012,rhode-island,Obama,58
2012-rhode-island-president-romney-vs-obama,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,2012,rhode-island,Romney,32
